file,lon [arcsec],lat [arcsec]
solo_L2_eui-fsi174-image_20220707T234045266_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220707T235045267_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T000045143_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T001045144_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T002045144_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T003045146_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T004045147_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T005045148_V01.fits,[],[]
solo_L2_eui-fsi174-image_20220708T010045149_V01.fits,[],[]
